timestamp,username,ip_address,location,latitude,longitude,device
2025-06-10T07:23:00Z,asmith,201.3.239.17,"São Paulo, Brazil",-23.55052,-46.633308,Laptop
2025-06-10T06:40:00Z,dprince,230.206.172.96,"New York, USA",40.7128,-74.006,Tablet
2025-06-10T07:38:00Z,pparker,100.242.193.210,"San Francisco, USA",37.7749,-122.4194,Desktop
2025-06-10T09:29:00Z,pparker,138.231.91.123,"Dubai, UAE",25.276987,55.296249,Desktop
2025-06-10T06:21:00Z,pparker,39.110.89.129,"Tokyo, Japan",35.6895,139.6917,Tablet
2025-06-10T07:41:00Z,dprince,9.85.167.191,"Tokyo, Japan",35.6895,139.6917,Desktop
2025-06-10T09:45:00Z,jdoe,119.114.251.182,"Toronto, Canada",43.65107,-79.347015,Mobile
2025-06-10T07:24:00Z,pparker,159.198.146.187,"São Paulo, Brazil",-23.55052,-46.633308,Desktop
2025-06-10T07:11:00Z,ckent,216.124.116.70,"San Francisco, USA",37.7749,-122.4194,Mobile
2025-06-10T09:05:00Z,ckent,5.252.210.199,"Dubai, UAE",25.276987,55.296249,Tablet
2025-06-10T09:07:00Z,ckent,51.193.48.39,"Toronto, Canada",43.65107,-79.347015,Mobile
2025-06-10T08:37:00Z,jdoe,89.207.202.13,"London, UK",51.5074,-0.1278,Mobile
2025-06-10T06:57:00Z,jdoe,138.62.36.96,"Dubai, UAE",25.276987,55.296249,Mobile
2025-06-10T07:17:00Z,dprince,2.149.159.14,"London, UK",51.5074,-0.1278,Mobile
2025-06-10T09:25:00Z,jdoe,159.212.146.192,"Dubai, UAE",25.276987,55.296249,Laptop
2025-06-10T06:12:00Z,dprince,49.221.14.76,"Sydney, Australia",-33.8688,151.2093,Desktop
2025-06-10T08:37:00Z,pparker,42.176.83.158,"New York, USA",40.7128,-74.006,Tablet
2025-06-10T09:01:00Z,ckent,55.94.15.154,"New York, USA",40.7128,-74.006,Laptop
2025-06-10T08:40:00Z,dprince,56.43.110.158,"Dubai, UAE",25.276987,55.296249,Desktop
2025-06-10T08:48:00Z,ckent,235.155.95.201,"San Francisco, USA",37.7749,-122.4194,Mobile
